ticker,name,sector,cap
POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,Small
PFC.NS,Power Finance Corporation Ltd.,Financial Services,Large
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,Large
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,Mid
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,Mid
PNB.NS,Punjab National Bank,Financial Services,Large
RRKABEL.NS,R R Kabel Ltd.,Capital Goods,Small
RBLBANK.NS,RBL Bank Ltd.,Financial Services,Small
RECLTD.NS,REC Ltd.,Financial Services,Large
RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods,Small
RITES.NS,RITES Ltd.,Construction,Small
RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,Mid
RVNL.NS,Rail Vikas Nigam Ltd.,Construction,Mid
RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication,Small
RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,Small
RKFORGE.NS,Ramkrishna Forgings Ltd.,Automobile and Auto Components,Small
REDINGTON.NS,Redington Ltd.,Services,Small
RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,Large
RPOWER.NS,Reliance Power Ltd.,Power,Small
SBFC.NS,SBFC Finance Ltd.,Financial Services,Small
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,Mid
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,Large
SJVN.NS,SJVN Ltd.,Power,Mid
SRF.NS,SRF Ltd.,Chemicals,Mid
SAGILITY.NS,Sagility Ltd.,Information Technology,Small
SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,Small
SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,Small
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,Large
SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services,Small
SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining,Small
SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication,Small
SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,Mid
SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods,Small
SCI.NS,Shipping Corporation of India Ltd.,Services,Small
SHREECEM.NS,Shree Cement Ltd.,Construction Materials,Large
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,Large
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,Small
ENRIN.NS,Siemens Energy India Ltd.,Capital Goods,Large
SIEMENS.NS,Siemens Ltd.,Capital Goods,Large
SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty,Small
SOBHA.NS,Sobha Ltd.,Realty,Small
SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,Large
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,Small
SONATSOFTW.NS,Sonata Software Ltd.,Information Technology,Small
STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,Small
SBIN.NS,State Bank of India,Financial Services,Large
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,Mid
SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals,Small
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,Large
SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,Small
SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,Mid
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,Mid
SPLPETRO.NS,Supreme Petrochem Ltd.,Chemicals,Small
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,Mid
SWANCORP.NS,Swan Corp Ltd.,Chemicals,Small
SWIGGY.NS,Swiggy Ltd.,Consumer Services,Mid
SYNGENE.NS,Syngene International Ltd.,Healthcare,Small
SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods,Small
TBOTEK.NS,TBO Tek Ltd.,Consumer Services,Small
TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,Large
TATACAP.NS,Tata Capital Ltd.,Financial Services,Large
TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,Small
TATACOMM.NS,Tata Communications Ltd.,Telecommunication,Mid
TCS.NS,Tata Consultancy Services Ltd.,Information Technology,Large
TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,Large
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,Mid
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Mid
TMCV.NS,Tata Motors Ltd.,Capital Goods,Large
TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,Large
TATAPOWER.NS,Tata Power Co. Ltd.,Power,Large
TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,Large
TATATECH.NS,Tata Technologies Ltd.,Information Technology,Small
TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,Small
TECHM.NS,Tech Mahindra Ltd.,Information Technology,Large
TECHNOE.NS,Techno Electric & Engineering Company Ltd.,Construction,Small
TEGA.NS,Tega Industries Ltd.,Capital Goods,Small
TEJASNET.NS,Tejas Networks Ltd.,Telecommunication,Small
TENNIND.NS,Tenneco Clean Air India Ltd.,Automobile and Auto Components,Small
